Unnamed: 0.1,Text,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,Sentiment
684,Reflecting on the challenges of the school year. Feeling a bit overwhelmed with assignments. ,2, #SchoolChallenges #HighSchoolStruggles ,-0.9223031595950428,-1.05833846375542, USA,2023,9,11,15,239
251," Standing tall, proud as an oak, the branches of achievement reaching towards the sky of accomplishment. ",2, #Proud #BranchesOfAchievement ,0.4948377153494816,0.5041370239891058, Canada ,2019,12,10,12,220
337,Calmness found in the rhythm of raindrops on the windowpane.   ,3, #Calmness #RainyDays                        ,-0.4971608971116855,-0.5611871722003436, Australia          ,2017,11,8,21,39
261," Unveiling the layers of curiosity, a labyrinth of questions leading to the treasure troves of undiscovered knowledge. ",1, #Curiosity #LabyrinthOfQuestions ,-0.6388749846061379,-0.6322087852796403, USA ,2020,11,29,14,64
440,"Heart in ruins, the remnants of shattered dreams scattered in the wind. ",3, #Ruins #ShatteredDreams                ,-0.2137327221227806,-0.20607910680386055, Brazil     ,2022,1,8,11,237
137, Elation over discovering a hidden gem in the city.   ,3, #Elation #HiddenGem                            ,-0.2137327221227806,-0.20607910680386055, USA      ,2012,2,18,14,89
216," Tranquil moments by the ocean, serenity washing over, a peaceful retreat within the waves' embrace. ",1, #Serenity #OceanRetreat                   ,0.4948377153494816,0.5041370239891058, Canada        ,2020,4,12,19,246
6, Rainy days call for cozy blankets and hot cocoa.   ,0, #RainyDays #Cozy                         ,-1.630873597067305,-1.6265113683897932, Canada   ,2023,1,16,14,214
324," Apprehensive whispers in the wind, a forecast of uncertainty, the mind's weather vane spinning wildly in the storm of doubt. ",1, #Apprehensive #StormOfDoubt ,-1.0640172470894953,-1.05833846375542, Canada ,2021,6,10,10,21
400,Harmony resonates as musicians play a symphony of unity.           ,1, #Harmony #MusicalUnity                   ,1.911978590294006,1.9245692855750383, Sweden          ,2019,11,30,19,142
543,"In the cricket championship, a nail-biting finish leaves fans on the edge of their seats, experiencing a rollercoaster of emotions. ",0, #Excitement #CricketChampionship ,1.2034081528217437,1.214353154782072, India ,2019,6,25,22,110
292," Charting a course through the waves of hopeful anticipation, a sailor steering towards the shores of dreams yet unexplored. ",2, #Hopeful #SailorOfDreams ,-0.6388749846061379,-0.6322087852796403, Australia ,2022,10,30,11,152
146, Arousal of excitement before a much-awaited trip.    ,3, #Arousal #TravelAdventure                     ,-0.2137327221227806,-0.20607910680386055, India    ,2018,3,10,9,22
484,"A surprise gift, wrapped in anticipation, unfolds a moment of delight and wonder. ",2, #Surprise #WonderfulMoment ,0.4948377153494816,0.5041370239891058, Australia ,2023,2,5,19,256
133, Enthusiasm for a creative project in the making.       ,0, #Enthusiasm #Creativity                       ,-0.9223031595950428,-0.9162952375968269, Canada    ,2018,9,15,16,102
312," Bitterness, a bitter aftertaste lingering on the tongue, each word a reminder of wounds that refuse to heal with the passing of time. ",1, #Bitterness #BitterAftertaste ,-1.630873597067305,-1.6265113683897932, India ,2020,4,5,16,32
696,Got a flat tire on the way to an important meeting. Talk about a series of bad events! ,2, #BadLuckDay #HighSchoolStruggles ,0.4948377153494816,0.5041370239891058, USA,2023,9,23,14,28
42, Celebrating a friend's birthday tonight! 🎂       ,0, #Birthday #Celebration                  ,-0.9223031595950428,-0.9162952375968269, UK ,2023,1,28,19,214
109, Shame for not being true to my values in a difficult situation.,3, #Shame #Integrity                           ,-0.9223031595950428,-0.9162952375968269, UK        ,2023,3,3,12,247
441,"Shattered by the echoes of a shattered dream, fragments of hope scattered. ",2, #Desolation #ScatteredHope ,-0.2137327221227806,-0.20607910680386055, Australia ,2017,9,10,19,71
57, Pure happiness: celebrating a loved one's achievement! ,1, #Happiness #Celebration                   ,1.2034081528217437,1.214353154782072, USA ,2023,2,13,10,137
334,Navigating through the challenges with determination.          ,3, #Determination #Challenges                  ,-0.9223031595950428,-0.9162952375968269, Canada            ,2023,10,12,10,77
209," Entangled in the web of thoughts, confusion reigning as I navigate the labyrinth of ideas. ",3, #Confusion #ThoughtLabyrinth              ,-0.9223031595950428,-0.9162952375968269, UK            ,2021,5,15,11,53
486,"Floating on clouds of gratitude, each raindrop a blessing, a shower of thankfulness. ",0, #Gratitude #ShowerOfThankfulness ,0.9199799778328389,0.8592450893855889, Germany ,2016,12,10,21,128
542,"At the Olympics, the athlete's perseverance shines through, earning a gold medal and inspiring a generation with their remarkable achievement. ",2, #Inspiration #OlympicAchievement ,1.911978590294006,1.9245692855750383, USA ,2020,8,8,19,160
24, Celebrating a milestone at work! 🎉               ,0, #Career #Milestone                      ,-1.3474454220784002,-1.27140330299331, Canada  ,2023,1,22,14,214
599,Rediscovered childhood cartoons and had a nostalgia-filled marathon. #CartoonNostalgia #TeenMemories ,2, #ChildhoodMemories #TeenCartoons ,0.06969545286612429,0.1490289585926226, USA,2023,6,7,12,172
435,"Bitterness like a poison, seeping into every crevice of the wounded heart. ",0, #Bitterness #WoundedHeart              ,0.4948377153494816,0.5041370239891058, Australia   ,2015,12,15,16,32
466,"Wandering through the cemetery of lost dreams, tombstones marking untold sorrows. ",0, #Desolation #UntoldSorrows ,0.9199799778328389,0.8592450893855889, France ,2020,8,15,12,71
433,"Heartache deepens, a solitary journey through the abyss of despair. ",1, #Despair #AbyssOfHeartache             ,2.6205490277662684,2.6347854163680045, South Africa ,2022,8,18,22,73
540,"As the closing scene unfolds, a sense of satisfaction washes over, completing the cinematic journey with a profound and fulfilling ending. ",2, #Satisfaction #FulfillingEnding ,0.06969545286612429,0.1490289585926226, Brazil ,2020,9,10,19,241
111, The victory of our team brought euphoria to the city. ,1, #Euphoria #Victory                             ,-0.9223031595950428,-0.9162952375968269, USA      ,2021,8,10,21,109
83, Sending love to all my followers on this beautiful day! ❤️ ,3, #Love #SpreadLove                            ,-0.9223031595950428,-0.9162952375968269, Australia  ,2023,2,23,8,184
52, Sunday bike ride through scenic trails.           ,1, #BikeRide #ScenicTrails                ,-0.4971608971116855,-0.5611871722003436, USA     ,2023,2,1,13,214
478,"Overflowing with joy, a cup of laughter shared with friends, a moment cherished. ",2, #Joy #CherishedMoment ,-0.2137327221227806,-0.20607910680386055, Japan ,2023,3,10,14,172
587,Survived a group project without any drama. Miracles do happen. #GroupProjectSuccess #TeenAchievements ,2, #TeenSuccess #ProjectMiracle ,0.9199799778328389,0.8592450893855889, UK,2023,5,26,14,241
583,Spent an hour choosing the perfect filter for a selfie. The struggle for that Instagram aesthetic is real. #SelfieQueen #TeenVibes ,0, #SelfieStruggle #TeenConfessions ,0.06969545286612429,0.1490289585926226, UK,2023,5,22,14,172
651,Bonding with friends over the latest K-pop sensation. Fangirling at its finest! ,0, #KpopFangirl #HighSchoolMusic ,-0.2137327221227806,-0.20607910680386055, USA,2023,8,9,22,172
639,"Joined a seniors' astronomy club, stargazing and finding wonder in the vastness of the cosmos. #AstronomyClub #SeniorStargazer ",2, #CelestialWonders #SeniorAstronomy ,-0.4971608971116855,-0.5611871722003436, UK,2023,7,17,22,64
512,"Dancing under the stars at Beyoncé's live show, feeling the power of 'Single Ladies' in every move. ",2, #Energy #BeyonceConcert ,1.911978590294006,1.9245692855750383, USA ,2019,7,28,21,98
368,Happiness blooms like flowers in a garden on a sunny day.        ,3, #Happiness #SunnyDay                      ,-0.9223031595950428,-0.9162952375968269, India             ,2020,2,10,11,138
691,Feeling lonely on a Saturday night. Sometimes solitude hits harder than expected. ,1, #LonelyNights #HighSchoolEmotions ,-0.7805890721005904,-0.8452736245175302, Canada,2023,9,18,22,239
18, Attending a virtual conference on AI.              ,0, #AI #TechConference                     ,0.4948377153494816,0.5041370239891058,USA,2023,1,20,11,197
533,"Streaming the latest web series, the viewer is engrossed in the characters' journey, feeling a sense of connection and empathy. ",0, #Engagement #WebSeriesJourney ,1.2034081528217437,1.214353154782072, Canada ,2020,7,8,19,99
413,Contentment envelops as the aroma of freshly baked bread fills the air. ,1, #Contentment #FreshBreadAroma          ,0.9199799778328389,0.8592450893855889, France          ,2017,6,10,12,56
293," A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections. ",1, #Compassionate #TearsOfEmpathy ,-0.07201863462832815,-0.06403588064526729, Canada ,2021,7,1,12,48
483,"In the symphony of excitement, each note is a burst of energy, igniting the soul with fervor. ",0, #Excitement #IgnitedSoul ,1.2034081528217437,1.214353154782072, UK ,2021,4,18,14,110
84, Amused by the antics of my pet—it's pure amusement!      ,1, #Amusement #PetAntics                       ,-0.4971608971116855,-0.5611871722003436, UK           ,2023,2,23,14,13
62, Admiring the beauty of nature during a peaceful hike.   ,3, #Admiration #Nature                         ,-0.2137327221227806,-0.20607910680386055, USA       ,2023,2,15,11,4
205," Facing challenges head-on, a determination that fuels the fire within to achieve the impossible. ",0, #Determination #AchieveTheImpossible       ,-1.630873597067305,-1.6265113683897932, India        ,2020,9,18,13,78
426,"Aching heart, the symphony of pain plays in the silence of solitude. ",0, #Suffering #HeartacheSymphony          ,0.4948377153494816,0.5041370239891058, Brazil          ,2022,3,20,19,255
30, New painting in progress! 🎨                       ,0, #Art #PaintingInProgress             ,-1.3474454220784002,-1.27140330299331, Canada ,2023,1,24,15,214
232," Ambivalence clouding decisions, caught in the crossroads of conflicting emotions. ",3, #Ambivalence #ConflictingEmotions        ,-0.9223031595950428,-0.9162952375968269, India         ,2022,1,15,10,12
214," Embracing the flaws, finding acceptance in imperfection, a journey towards self-love. ",0, #Acceptance #SelfLoveJourney              ,-0.9223031595950428,-0.9162952375968269, Australia    ,2021,8,20,16,1
421,Drowning in sorrow as memories of lost love resurface.            ,1, #Heartbreak #LostLove                    ,-0.9223031595950428,-0.9162952375968269, USA             ,2019,8,5,21,146
692,Experiencing cyberbullying. Hateful messages online are disheartening. ,0, #StopCyberbullying #HighSchoolReality ,-1.0640172470894953,-1.1293600768347167, UK,2023,9,19,15,143
183," Boredom settles like dust, life feels mundane.     ",1, #Boredom #Monotony                          ,-2.056015859550662,-1.9816194337862763, Canada        ,2016,11,28,19,36
491,"Standing before the grandeur of the Eiffel Tower, a moment to reflect on the beauty of Parisian dreams. ",2, #Reflection #ParisianDreams ,0.9199799778328389,0.8592450893855889, France ,2018,5,12,17,223
249," Basking in the golden glow of contentment, a serene river flowing through the landscape of the heart. ",0, #Contentment #GoldenGlow ,-0.4971608971116855,-0.49016555912104703, Australia ,2020,9,5,20,56
616,"Participated in a community art class, unleashing creativity in the golden years. Art has no age limit. #ArtClass #SeniorArtistry ",2, #CreativityAtAnyAge #SeniorCreativity ,0.06969545286612429,0.1490289585926226, Canada,2023,6,24,16,172
363,Surprise and delight at discovering a hidden gem in the city.    ,1, #Surprise #HiddenGem                      ,-0.4971608971116855,-0.5611871722003436, UK                ,2019,10,18,16,258
389,Euphoria floods in as the final puzzle piece clicks into place.       ,1, #Euphoria #PuzzleCompletion            ,-0.2137327221227806,-0.20607910680386055, Denmark         ,2022,6,8,15,107
551,"After a series of defeats, the soccer team faces disappointment, struggling to find the silver lining in a challenging season. ",2, #Disappointment #SoccerDefeats ,2.6205490277662684,2.6347854163680045, Brazil ,2019,11,2,18,81
656,Mastering the art of the perfect doodle during boring classes. Doodles: A+! ,2, #DoodleMaster #HighSchoolArt ,-0.2137327221227806,-0.20607910680386055, USA,2023,8,14,16,172
210," Numb to the chaos, emotions locked away, a stoic facade concealing the inner turmoil. ",1, #Numbness #StoicFacade                    ,-1.9143017720562099,-1.9816194337862763, Australia     ,2019,12,28,14,203
452,"Haunted by the specter of lost possibilities, a ghost that refuses to fade away. ",2, #Regret #FadingPossibilities ,-0.4971608971116855,-0.5611871722003436, Spain ,2019,11,8,14,225
410,Awe-struck by the grandeur of an ancient cathedral's intricate architecture. ,0, #Awe #ArchitecturalGrandeur            ,-0.4971608971116855,-0.5611871722003436, Czech Republic  ,2018,8,18,14,25
177," Drowning in despair, hope slipping through my fingers.",1, #Despair #Hopeless                           ,-1.630873597067305,-1.6265113683897932, USA          ,2016,4,2,20,74
300," Yearning for a touch that's not there, echoes of a distant warmth haunting the heart in the cold embrace of solitude. ",1, #Yearning #DistantWarmth ,-1.630873597067305,-1.6265113683897932, Australia ,2020,11,2,19,277
518,"Swinging to the rhythms of a Frank Sinatra tribute, feeling the timeless charm of 'Fly Me to the Moon'. ",2, #Charm #SinatraTribute ,0.06969545286612429,0.1490289585926226, USA ,2019,6,10,18,44
535,"Watching a heartwarming family drama, tears flow freely as the characters overcome challenges, leaving the viewer with a warm glow. ",1, #Touched #FamilyDramaMoments ,0.9199799778328389,0.8592450893855889, India ,2021,1,15,18,266
265," A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections. ",0, #Compassionate #TearsOfEmpathy ,-0.07201863462832815,-0.06403588064526729, Canada ,2021,7,1,12,48
138, The euphoria of a surprise birthday celebration.     ,1, #Euphoria #BirthdaySurprise                   ,-0.9223031595950428,-0.9162952375968269, UK   ,2018,11,5,21,109
224," Embracing life's imperfections, finding acceptance in the journey, scars and all. ",3, #Acceptance #ImperfectJourney            ,-0.4971608971116855,-0.49016555912104703, Canada        ,2023,5,15,16,1
686,Had a bad day at school. Everything seems to be going wrong. ,0, #BadDay #HighSchoolBlues ,-0.2137327221227806,-0.20607910680386055, UK,2023,9,13,16,28
648,Convinced the teacher to have class outdoors. Learning equations with a side of fresh air! ,0, #OutdoorClassroom #HighSchoolExplorer ,0.9199799778328389,0.8592450893855889, USA,2023,8,6,14,213
164, Suffering from despair after another setback.      ,3, #Despair #Struggle                              ,-2.339444034539567,-2.3367274991827593, USA          ,2021,3,10,8,75
396,Dazzled by the elegance of a masquerade ball's dazzling costumes. ,0, #Dazzle #MasqueradeElegance            ,0.9199799778328389,0.8592450893855889, UK               ,2018,6,12,20,70
643,"Survived a challenging physics exam. Equations, you won't defeat me! ",1, #PhysicsSurvivor #HighSchoolAdventures ,-0.2137327221227806,-0.20607910680386055, USA,2023,8,1,13,229
711,Exploring a new part-time job opportunity for gaining work experience. Career development in progress. ,0, #CareerDevelopment #HighSchoolJobs ,0.35312362785502915,0.3620937978305125, USA,2023,10,8,15,196
705,Trying out a new study technique for upcoming exams. Exploring different learning strategies. ,1, #StudyStrategies #HighSchoolExams ,0.21140954036057674,-0.06403588064526729, USA,2023,10,2,16,196
372,Intrigued by the symphony of colors in an abstract art exhibition. ,3, #Intrigue #AbstractArt                   ,-0.4971608971116855,-0.5611871722003436, France           ,2019,4,5,17,166
335,Nostalgia hits while flipping through an old photo album.     ,0, #Nostalgia #OldMemories                     ,0.06969545286612429,0.1490289585926226, UK                ,2019,6,28,19,200
720,Successfully completing a challenging coding project. Excitement for overcoming coding hurdles! ,2, #CodingTriumph #HighSchoolTech ,0.35312362785502915,0.3620937978305125, USA,2023,10,17,12,139
105, Confusion surrounds me as I navigate through life's choices. ,1, #Confusion #LifeChoices                     ,1.2034081528217437,1.214353154782072, USA   ,2023,3,2,13,51
115," Hopeful for a brighter tomorrow, despite challenges.  ",0, #Hope #Optimism                                ,0.06969545286612429,0.1490289585926226, USA      ,2013,4,5,19,151
658,Sneaking snacks into class like a pro. The art of snack-smuggling is a sacred skill! ,1, #SnackSmuggler #HighSchoolSnacks ,1.2034081528217437,1.214353154782072, USA,2023,8,16,14,192
240," Melancholy as a companion, painting the canvas of life with the brushstrokes of wistful yearning. ",0, #Melancholy #WistfulYearning             ,-1.2057313345839478,-1.2003816899140134, UK            ,2019,2,25,21,187
657,Attempting to break the school record for the longest handstand. Wish me luck! ,0, #HandstandChallenge #HighSchoolAthlete ,0.9199799778328389,0.8592450893855889, Canada,2023,8,15,19,110
295," Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow. ",1, #Hopeful #SeedsOfOptimism ,-1.0640172470894953,-1.05833846375542, India ,2022,7,17,6,152
93, Anticipating the release of a much-awaited movie.       ,1, #Anticipation #MovieRelease                 ,-0.2137327221227806,-0.20607910680386055, Australia    ,2023,2,26,7,16
7, The new movie release is a must-watch!             ,1, #MovieNight #MustWatch                  ,-0.9223031595950428,-0.9162952375968269, USA    ,2023,1,16,19,214
90, A surprise visit from an old friend brought tears of joy. ,1, #Surprise #OldFriends                       ,0.4948377153494816,0.5041370239891058, USA          ,2023,2,25,14,257
586,"Got dressed for the day, then remembered it's Saturday. Oops. #WeekendVibes #TeenStruggles ",0, #WeekendOops #TeenFashion ,-0.2137327221227806,-0.20607910680386055, USA,2023,5,25,19,157
395,Soaring like a free spirit on the winds of a coastal cliff.        ,3, #Freedom #CoastalAdventure              ,1.2034081528217437,1.214353154782072, Australia         ,2021,2,28,13,119
429,"Torn apart by grief, the echoes of loss reverberate through the soul. ",0, #Grief #TornApart                       ,0.9199799778328389,0.8592450893855889, Italy         ,2015,6,28,21,134
679,Organizing a movie marathon with friends. Popcorn and cinematic adventures await! ,0, #MovieNight #HighSchoolMemories ,0.06969545286612429,0.006985732434029342, UK,2023,9,6,16,172
592,Spent the day binge-watching a new series. Productivity level: Zero. #LazyDay #TVSeriesMarathon ,0, #BingeWatchDay #TeenLife ,1.911978590294006,1.9245692855750383, Canada,2023,5,31,15,172
549,"In the cycling world championship, the climber conquers challenging terrains, symbolizing determination and achievement against all odds. ",0, #Determination #CyclingChampion ,1.911978590294006,1.9245692855750383, Italy ,2015,9,28,22,77
488,"In the celebration of success, fireworks of accomplishment light up the night sky of triumph. ",1, #Success #NightSkyTriumph ,0.06969545286612429,0.1490289585926226, Japan ,2017,11,15,22,254
571,"Underneath the city lights, the dancer expresses emotions through graceful movements, creating a mesmerizing performance under the night sky. ",2, #Mesmerizing #NightDancePerformance ,2.6205490277662684,2.6347854163680045, USA ,2018,6,15,22,189
11, Feeling a bit under the weather today.             ,3, #SickDay #Health                        ,-2.056015859550662,-1.9816194337862763, Canada   ,2023,1,18,10,195
141, Gratitude for the supportive community around me.    ,1, #Gratitude #CommunitySupport                   ,1.2034081528217437,1.214353154782072, USA ,2013,4,20,10,132
29, Reflecting on the importance of mental health.     ,3, #MentalHealth #SelfCare                 ,0.06969545286612429,0.1490289585926226, USA      ,2023,1,24,11,214
44, A cozy evening with a good movie.                 ,3, #CozyNight #MovieTime                   ,-0.4971608971116855,-0.5611871722003436, Canada   ,2023,1,29,20,214
43, Feeling accomplished after a productive day.       ,1, #Accomplished #Success               ,0.06969545286612429,0.1490289585926226, India ,2023,1,29,17,214
74, Kindness witnessed today restored my faith in humanity. ,3, #Kindness #Humanity                        ,-0.2137327221227806,-0.20607910680386055, USA       ,2023,2,19,11,176
168, Resentment building up over past betrayals.        ,1, #Resentment #Bitterness                       ,-2.056015859550662,-1.9816194337862763, Australia     ,2018,5,22,14,231
405,Whispers of inspiration from the rustling leaves in a serene forest. ,0, #Inspiration #ForestWhispers            ,0.9199799778328389,0.8592450893855889, Portugal        ,2016,11,15,11,161
641,"Started a blog sharing the wisdom gained through the years, proving that every day is a chance to learn and grow. #SeniorWisdom #Blog ",1, #LifeLessons #SeniorBlog ,0.06969545286612429,0.1490289585926226, UK,2023,7,19,19,128
710,Attending a school club meeting to explore new interests. Dabbling in extracurricular activities. ,1, #SchoolClubs #HighSchoolInterests ,0.06969545286612429,0.1490289585926226, UK,2023,10,7,20,196
179," Loneliness in a crowded room, a silent cry for connection.",3, #Loneliness #SeekingConnection              ,-0.9223031595950428,-0.9162952375968269, UK            ,2019,7,12,18,178
673,Embarking on a mission to find the best burger joint in town. Burger connoisseur: Reporting for duty! ,2, #BurgerQuest #HighSchoolFoodie ,0.35312362785502915,-0.06403588064526729, UK,2023,8,31,20,110
663,Mastered the art of creating paper airplanes during lecture. Paper planes: Soaring to new heights! ,1, #PaperPlaneExpert #HighSchoolArt ,-0.9223031595950428,-0.9162952375968269, USA,2023,8,21,15,172
178," Grief weighs heavy, tears a constant companion.    ",0, #Grief #Tears                                ,-1.3474454220784002,-1.27140330299331, Canada        ,2015,10,18,15,135
498,"Amazed by the architectural marvels of Petra, each stone telling tales of an ancient civilization. ",2, #Amazement #AncientTales ,1.2034081528217437,1.214353154782072, Jordan ,2023,1,28,13,10
671,Attempting to set a new record for the most consecutive hacky sack kicks. Hacky sack skills: Unleashed! ,1, #HackySackChallenge #HighSchoolAthlete ,0.6365518028439341,0.3620937978305125, Canada,2023,8,29,13,110
258," Navigating the sea of hope, sailing towards the sunrise of possibilities, confident in the ship of positive anticipation. ",0, #Hopeful #SunriseOfPossibilities ,-1.3474454220784002,-1.3424249160726065, USA ,2023,10,5,7,152
297," Drowning in the abyss of despair, a heart shattered into fragments, lost in the echoing silence of hopelessness. ",1, #Despair #EchoingSilence ,-1.9143017720562099,-1.9105978207069796, Canada ,2021,9,15,16,72
15, Reflecting on the past and looking ahead.          ,0, #Reflection #Future                     ,-0.2137327221227806,-0.20607910680386055, USA      ,2023,1,19,13,214
430,"Isolation deepens, an emotional winter where warmth is but a distant memory. ",1, #Isolation #EmotionalWinter            ,1.911978590294006,1.9245692855750383, Japan       ,2020,4,2,14,167
257," Bathed in the glow of inspiration, a creative phoenix rising from the ashes of ordinary thoughts to explore new realms. ",2, #Inspired #CreativePhoenix ,-0.9223031595950428,-0.9162952375968269, UK ,2019,10,25,16,163
584,Lost my headphones again. How do they vanish into thin air? #HeadphoneMystery #TeenLife ,2, #TeenProblems #LostHeadphones ,-0.2137327221227806,-0.20607910680386055, USA,2023,5,23,16,122
325," Overwhelmed by the maze of expectations, a minotaur of pressure lurking in the labyrinth, waiting to devour the spirit of resilience. ",0, #Overwhelmed #MinotaurOfPressure ,0.06969545286612429,0.07800734551332597, USA ,2020,2,22,15,208
519,"In the mosh pit of a Metallica concert, the thunderous chords create a symphony of headbanging ecstasy. ",0, #Ecstasy #MetallicaConcert ,1.911978590294006,1.9245692855750383, USA ,2023,3,20,22,87
399,Riding the adrenaline rush on a rollercoaster's wild twists.      ,0, #Adrenaline #RollercoasterThrills      ,0.06969545286612429,0.1490289585926226, Germany         ,2020,7,25,12,7
347,Gratitude for the simple joys found in a cup of morning coffee.    ,3, #Gratitude #MorningCoffee                 ,0.06969545286612429,0.1490289585926226, India             ,2017,4,15,8,132
282," A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere. ",0, #Playful #CarnivalEscapade ,0.35312362785502915,0.3620937978305125, Australia ,2018,8,22,17,211
382,Radiant joy akin to blooming flowers on a sun-kissed spring morning. ,0, #Radiance #SpringBlooms                 ,0.4948377153494816,0.5041370239891058, Netherlands     ,2022,5,5,10,221
9, Missing summer vibes and beach days.               ,0, #Summer #BeachDays                      ,-0.4971608971116855,-0.5611871722003436, Australia ,2023,1,17,12,197
250," Gazing towards the horizon with hopeful eyes, painting a canvas of dreams illuminated by the sun of optimism. ",1, #Hopeful #CanvasOfDreams ,-1.3474454220784002,-1.3424249160726065, India ,2022,4,18,8,152
22, Productive day ticking off my to-do list.          ,1, #Productivity #WorkFromHome           ,1.2034081528217437,1.214353154782072, USA ,2023,1,21,16,214
222," Flipping through the pages of an old yearbook, nostalgia painting smiles and tears on my face. ",1, #Nostalgia #YearbookMemories            ,-1.3474454220784002,-1.27140330299331, India         ,2017,6,18,14,201
600,Embarked on a DIY home decor project. Let's hope it turns out better than last time. #DIYAdventure #TeenHomeDecor ,1, #DIYGoals #TeenCreative ,1.911978590294006,1.9245692855750383, UK,2023,6,8,16,110
717,Collaborating on a group project to promote teamwork and shared responsibilities. Group effort in action. ,0, #TeamSpirit #HighSchoolProjects ,-0.4971608971116855,-0.5611871722003436, USA,2023,10,14,17,196
418,Imbued with gratitude for the simple pleasure of a warm cup of tea. ,3, #Gratitude #WarmTea                    ,-0.4971608971116855,-0.5611871722003436, Japan           ,2023,2,15,8,131
612,"Joined a community choir, harmonizing with fellow voices. Music creates bonds that withstand time. #CommunityChoir #HarmonyInAging ",1, #MusicHarmony #SeniorVoices ,-0.2137327221227806,-0.20607910680386055, USA,2023,6,20,14,172
